iter	Logloss
0	0.6830727317
1	0.6679219333
2	0.65415802
3	0.6410489169
4	0.6292977073
5	0.617795424
6	0.6069929643
7	0.5978693182
8	0.5867480191
9	0.5774495212
10	0.5677844308
11	0.5593119535
12	0.5509540905
13	0.5418184107
14	0.5327067635
15	0.5229247007
16	0.5138178739
17	0.5051961725
18	0.4968542619
19	0.4902331612
20	0.4809250572
21	0.473263966
22	0.4653193387
23	0.4570179332
24	0.4492155595
25	0.4416012851
26	0.433023106
27	0.4258164146
28	0.4192755959
29	0.4119102478
30	0.4068857366
31	0.3991805337
32	0.3929047671
33	0.3870310003
34	0.3806425962
35	0.3733341217
36	0.3676205722
37	0.3619934082
38	0.3551385359
39	0.3502218073
40	0.3444864793
41	0.3392269828
42	0.3344990123
43	0.3294962796
44	0.3248529608
45	0.3206791271
46	0.3155764146
47	0.3108787537
48	0.3070105813
49	0.3031926935
50	0.2983889146
51	0.2943637501
52	0.2900372418
53	0.2858205448
54	0.2810346777
55	0.277539392
56	0.2751096552
57	0.2711172971
58	0.2683790727
59	0.264592951
60	0.2616811579
61	0.2580503117
62	0.2551548351
63	0.2523430564
64	0.2485247005
65	0.2462002321
66	0.2429143732
67	0.2396550612
68	0.2370402249
69	0.2340083382
70	0.2312026978
71	0.2284166509
72	0.2264114727
73	0.223305078
74	0.2204861034
75	0.2176207109
76	0.2146102732
77	0.2130552465
78	0.2101014224
79	0.2075941259
80	0.2050990018
81	0.2027511597
82	0.200081045
83	0.1978390434
84	0.1959169735
85	0.1936564706
86	0.1916605343
87	0.1889506427
88	0.1871831027
89	0.1861446381
90	0.183810893
91	0.1819075498
92	0.17941898
93	0.1773684068
94	0.1751551888
95	0.1731870131
96	0.1713742343
97	0.1693137082
98	0.167360826
99	0.1657678257
100	0.1638110421
101	0.1619383032
102	0.1604525306
103	0.1586698012
104	0.1572382493
105	0.1557535692
106	0.1542153272
107	0.1527089552
108	0.1515950636
109	0.1501045227
110	0.148470029
111	0.1472681219
112	0.1456019835
113	0.1439681747
114	0.1428683194
115	0.1413946759
116	0.1401964014
117	0.1389575265
118	0.137556024
119	0.1369991649
120	0.1357135599
121	0.1348756877
122	0.1337780519
123	0.1327161962
124	0.1313184825
125	0.1300636985
126	0.1288773277
127	0.127713845
128	0.1265410337
129	0.1260228591
130	0.1251196861
131	0.124167399
132	0.1236052773
133	0.1227318244
134	0.121853447
135	0.1208109942
136	0.1197404428
137	0.1191697381
138	0.1184829625
139	0.1176341664
140	0.1167016203
141	0.1154462468
142	0.1145312916
143	0.1136384357
144	0.1127911654
145	0.111848259
146	0.1108884465
147	0.1104775169
148	0.1096548601
149	0.1087461125
150	0.107856317
151	0.1072195226
152	0.1065992095
153	0.1057466767
154	0.1052787954
155	0.1044634299
156	0.1038816625
157	0.103262936
158	0.1026041204
159	0.1022416895
160	0.101541155
161	0.1008081523
162	0.1001811374
163	0.09987701069
164	0.09926540201
165	0.09862419475
166	0.09824423356
167	0.09754593589
168	0.09701257186
169	0.09645802758
170	0.09583705555
171	0.0951839447
172	0.09451259266
173	0.0939382293
174	0.09337322929
175	0.09273005399
176	0.09247980985
177	0.0918645512
178	0.09132816141
179	0.09064301577
180	0.09017716321
181	0.08964252472
182	0.08918134516
183	0.08853704279
184	0.08831160285
185	0.08786556937
186	0.087482279
187	0.08701085177
188	0.08637797616
189	0.08599996567
190	0.08570785522
191	0.08525389758
192	0.08461700786
193	0.08418447321
194	0.08378784006
195	0.08339248137
196	0.08291756023
197	0.08241101178
198	0.08192187223
199	0.08170860464
200	0.08141829751
201	0.08105177446
202	0.08068613573
203	0.08050008254
204	0.08003455075
205	0.07950897217
206	0.07928161621
207	0.07893031727
208	0.07873552496
209	0.0784358198
210	0.07799442465
211	0.07764991413
212	0.07722135024
213	0.07695230137
214	0.07648055337
215	0.07609889291
216	0.07585222071
217	0.07552734722
218	0.07519210469
219	0.07474035783
220	0.07426775152
221	0.07406453219
222	0.07373298298
223	0.07337105491
224	0.07308270714
225	0.07288473303
226	0.07268421433
227	0.07233287204
228	0.07211202275
229	0.07170606093
230	0.07145031149
231	0.07111470049
232	0.07087742199
233	0.0707034978
234	0.07044937827
235	0.07017539198
236	0.06983397224
237	0.06949836558
238	0.06920611642
239	0.06905080622
240	0.0689297416
241	0.06864402944
242	0.06847865365
243	0.06825871468
244	0.06788516478
245	0.06754536629
246	0.06724807566
247	0.06709627672
248	0.06689024839
249	0.0666780992
250	0.06636771289
251	0.06623431986
252	0.06593412053
253	0.06577216062
254	0.06555472721
255	0.0652796702
256	0.06499893449
257	0.06466734193
258	0.06435487054
259	0.06419301033
260	0.06388115449
261	0.06364056847
262	0.06338617151
263	0.06311879592
264	0.06297007474
265	0.06276506511
266	0.06254442388
267	0.06243687976
268	0.0620681806
269	0.06168645512
270	0.06139816804
271	0.06122300408
272	0.06104672605
273	0.0607682835
274	0.06039358486
275	0.06022465012
276	0.0599720348
277	0.05987251455
278	0.05971013416
279	0.05955622413
280	0.05940077522
281	0.05920294848
282	0.0589856928
283	0.05877563737
284	0.0586135084
285	0.05852798982
286	0.05822183869
287	0.0579651139
288	0.05776030801
289	0.05760846138
290	0.05751214461
291	0.0573251074
292	0.05708008246
293	0.05695502541
294	0.05672677647
295	0.05652406432
296	0.05637224371
297	0.05609146898
298	0.0559864521
299	0.05586358417
300	0.05562106913
301	0.05538557226
302	0.05528270115
303	0.05501662168
304	0.05478000641
305	0.05469394164
306	0.05451052406
307	0.0541829586
308	0.05405357534
309	0.05396429409
310	0.05383701324
311	0.05370532383
312	0.05363884406
313	0.05354075865
314	0.0533196536
315	0.05313273343
316	0.05295739607
317	0.05283222198
318	0.05264402303
319	0.05246836055
320	0.05231049278
321	0.05212230249
322	0.05195560455
323	0.05186208378
324	0.05165241848
325	0.05140772299
326	0.05122200792
327	0.05114367225
328	0.05100870999
329	0.0508336414
330	0.05065870719
331	0.05047847574
332	0.05034037503
333	0.0502553593
334	0.0500414068
335	0.04994011792
336	0.04987346909
337	0.04976504933
338	0.04958385988
339	0.04946475462
340	0.04937486215
341	0.04925948056
342	0.04911624302
343	0.04900543039
344	0.04892512235
345	0.04882147529
346	0.04866262783
347	0.04852946021
348	0.04830235568
349	0.04818664898
350	0.04801927913
351	0.04782399264
352	0.04769916968
353	0.04763623151
354	0.04747182239
355	0.04729430892
356	0.04718355699
357	0.04699170373
358	0.04690773704
359	0.04677902568
360	0.04662064206
361	0.04653387937
362	0.04641245929
363	0.04628917954
364	0.04617568796
365	0.0460291429
366	0.04583658305
367	0.04572143988
368	0.04562222307
369	0.04548196793
370	0.04528334791
371	0.04510158192
372	0.0449813496
373	0.04492285468
374	0.04476092945
375	0.04463957873
376	0.04454763586
377	0.0444729935
378	0.04436498989
379	0.04427202398
380	0.04418815699
381	0.04408795183
382	0.0440307097
383	0.04395242171
384	0.04390165156
385	0.04385967255
386	0.04371545965
387	0.04359493256
388	0.04351267381
389	0.04339301369
390	0.04331254959
391	0.04323933775
392	0.04318578027
393	0.04306261756
394	0.04294186505
395	0.04283140356
396	0.04272445332
397	0.04263952429
398	0.04250504754
399	0.04240337719
400	0.04227959026
401	0.04220039194
402	0.04213243831
403	0.04202263139
404	0.0419406284
405	0.04187339869
406	0.04180271842
407	0.04166404551
408	0.04159165296
409	0.04148706956
410	0.04139457182
411	0.04129577984
412	0.04119784182
413	0.04111083204
414	0.04100443233
415	0.0409443075
416	0.04087748094
417	0.04075776013
418	0.040669762
419	0.04053115411
420	0.04042998227
421	0.04036130905
422	0.04030133161
423	0.04016331759
424	0.04012384415
425	0.04003660896
426	0.0399129174
427	0.03984790282
428	0.03971945589
429	0.03967767195
430	0.03957187046
431	0.03947812861
432	0.03941745758
433	0.03935368711
434	0.03931081078
435	0.03925823732
436	0.03915694844
437	0.03910429694
438	0.03900739496
439	0.0389020573
440	0.0388199286
441	0.03871029074
442	0.03862151233
443	0.03852413351
444	0.03846475428
445	0.03835880973
446	0.03830738935
447	0.03823080496
448	0.03813988512
449	0.03807052266
450	0.03794878613
451	0.03785377849
452	0.03778087009
453	0.03767577952
454	0.03762927489
455	0.03753845908
456	0.03746380372
457	0.0373895125
458	0.03727490685
459	0.03721408411
460	0.03711410002
461	0.0370673223
462	0.03697229299
463	0.03692662499
464	0.03682289124
465	0.036772819
466	0.03670528585
467	0.03661663316
468	0.03649518273
469	0.03638835387
470	0.03628810536
471	0.03620695851
472	0.03614711978
473	0.03603159731
474	0.03594391996
475	0.03588536002
476	0.03579761765
477	0.03570979942
478	0.03565246409
479	0.03560497111
480	0.03556183251
481	0.03544818705
482	0.0354137399
483	0.03531404409
484	0.0352455746
485	0.0351757483
486	0.03513636589
487	0.03507369648
488	0.03499424241
489	0.03489981565
490	0.03480516781
491	0.03469746763
492	0.03460006714
493	0.03449716135
494	0.03442706628
495	0.03440230976
496	0.03431520896
497	0.03427700346
498	0.03414959474
499	0.03409561244
500	0.03402180455
501	0.03392048532
502	0.03384980288
503	0.03379610235
504	0.03370256424
505	0.03362816897
506	0.03357169195
507	0.03346158591
508	0.0333506064
509	0.0332803206
510	0.03323797529
511	0.03315058621
512	0.0330713012
513	0.03305265903
514	0.03301059116
515	0.03293906775
516	0.03286848718
517	0.03278575377
518	0.03271218213
519	0.03263120868
520	0.03251557784
521	0.03248792562
522	0.03241874088
523	0.03232334744
524	0.03222382285
525	0.03217222474
526	0.03212937008
527	0.03209175197
528	0.03194926435
529	0.03184615482
530	0.03181596236
531	0.03175982995
532	0.03170433261
533	0.03165286238
534	0.03158958825
535	0.03155181625
536	0.0314806548
537	0.0314149293
538	0.03135503422
539	0.03131311807
540	0.03123362498
541	0.03118448257
542	0.03108911081
543	0.03103408813
544	0.03096314777
545	0.03085319129
546	0.03081812208
547	0.03072918979
548	0.03067552393
549	0.03060684854
550	0.03052927147
551	0.03049865419
